PID	Status	Label
1792	0	com.apple.icloud.findmydeviced.findmydevice-user-agent
24124	0	homebrew.mxcl.redis
-	0	com.apple.XProtect.agent.scan.startup
1501	0	com.apple.amsengagementd
2053	0	com.apple.betaenrollmentagent
-	0	com.apple.AirPortBaseStationAgent
25026	0	com.apple.proactiveeventtrackerd
1526	0	com.apple.proactived
1585	0	com.apple.ModelCatalogAgent
1404	0	com.apple.universalaccessd
1412	0	com.apple.linkd
-	0	com.apple.accessibility.MotionTrackingAgent
-	0	com.apple.neagent
1928	0	com.apple.SafariLaunchAgent
-	0	com.apple.idsfoundation.IDSRemoteURLConnectionAgent
-	0	com.apple.textcomposerd
1795	0	com.apple.recentsd
1477	0	com.apple.spotlightknowledged.updater
-	0	com.apple.transparencyStaticKey
1604	0	com.apple.sirittsd
14760	0	com.apple.dprivacyd
1434	0	com.apple.usernoted
1619	0	com.apple.geodMachServiceBridge
1914	0	com.apple.Safari.History
1923	0	com.apple.translationd
-	0	com.apple.AddressBook.abd
-	0	com.apple.bluetoothaudiod
1474	0	com.apple.calaccessd
20310	0	com.robinco.prefect.worker
-	0	com.apple.ScreenReaderUIServer
-	0	com.apple.newsd
-	0	com.apple.systemsettingsagent
1560	0	com.apple.swcd
-	0	com.apple.symptomsd.distributed-agent
1888	0	com.apple.AirPlayUIAgent
81156	0	homebrew.mxcl.syncthing
11205	0	com.apple.backgroundassets.user
-	0	com.apple.cvmsCompAgent_arm64_1
-	0	com.apple.dt.previewsd
14765	0	com.apple.shazamd
18492	0	application.com.apple.Maps.1152921500311888050.1152921500311888070
1450	0	com.apple.corespotlightd
2003	0	com.apple.naturallanguaged
-	0	com.apple.netauth.user.gui
7686	0	com.apple.corespotlightservice.<UUID-REDACTED>
1811	0	com.apple.watchlistd
1552	0	com.apple.xtyped
-	0	com.apple.TMHelperAgent
1873	0	com.apple.Spotlight
1522	0	com.apple.appstoreagent
-	0	com.apple.AMPDevicesAgent
